cveid,brief
CVE-2023-5212,"The AI ChatBot plugin for WordPress is vulnerable to Arbitrary File Deletion, which allows authenticated attackers with subscriber privileges to delete arbitrary files on the server.   This vulnerability impacts the AI ChatBot component, suggesting risks to LLM-related functionalities, particularly given the context of its AI integration."
CVE-2023-48741,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in the QuantumCloud AI ChatBot affects versions up to 4.7.8.   This vulnerability, classified as SQL Injection (CWE-89), can compromise the confidentiality of sensitive data within the chatbot system, indicating it is a significant concern for LLM applications.  "
CVE-2024-0088,NVIDIA Triton Inference Server has a vulnerability in its shared memory APIs that could lead to denial of service and data tampering.   This is relevant as it directly affects a system (NVIDIA Triton Inference Server) critical for LLM inference capabilities.  
CVE-2023-5832,"Improper input validation in the mintplex-labs/anything-llm project could allow attackers to affect the integrity of LLM systems using this component.   The vulnerability demonstrates a risk where improper handling of user input can lead to potentially harmful consequences, specifically due to ""CWE-20 Improper Input Validation."""
CVE-2024-0435,"User can exploit a self-XSS vulnerability in the ""anything-llm"" framework when sending messages.   This attack relies on the chat application's handling of user input, enabling execution of malicious scripts in the user's own browser context."
CVE-2024-0100,"NVIDIA Triton Inference Server is vulnerable in its tracing API, allowing system file corruption, potentially leading to denial of service and data tampering.   This vulnerability impacts an LLM-relevant system because Triton is commonly used for serving LLMs and other AI models, thus affecting their operational integrity."
CVE-2023-7215,"A vulnerability in Chanzhaoyu's chatgpt-web application version 2.11.1 allows for cross-site scripting (XSS) through the manipulation of input arguments.   This issue is relevant as it can potentially compromise the security of web-based LLM interfaces, with the input example ""<image src onerror=prompt(document.domain)>"" showcasing exploitation methods."
CVE-2023-51409,"Unrestricted file upload vulnerability in the AI Engine: ChatGPT Chatbot plugin for WordPress allows attackers to upload dangerous file types.   This vulnerability affects the integration of AI with web platforms, as it can lead to exploitation of AI functionalities, particularly in outdated versions."
CVE-2024-0452,"The AI ChatBot for WordPress is vulnerable to unauthorized data modification due to missing capability checks in the openai_file_upload_callback function.   This allows authenticated attackers to upload files to a linked OpenAI account, potentially compromising sensitive data interactions.  "
CVE-2024-0440,"The vulnerability allows attackers to perform Server-Side Request Forgery (SSRF) on the ""anything-llm"" system, enabling unauthorized access to sensitive host files.   This is relevant to LLMs as it exposes the potential for data leakage, with the description noting ""introspect host files"" which could lead to compromised system integrity."
CVE-2023-28312,"The vulnerability CVE-2023-28312 pertains to the Azure Machine Learning platform, specifically an information disclosure issue due to improper access control (CWE-284).   This is significant for LLMs as Azure Machine Learning is a common provider for deploying models; it highlights potential access issues where sensitive model information might be exposed.  "
CVE-2024-0378,"The AI Engine plugin for WordPress is vulnerable to Stored Cross-Site Scripting due to insufficient input sanitization and output escaping.   This vulnerability could allow unauthenticated attackers to inject arbitrary web scripts that execute in user sessions, affecting the plugin's integrity as it works with LLM-based features like chatbots.  "
CVE-2024-0087,"NVIDIA Triton Inference Server has a vulnerability that allows a user to set the logging location to an arbitrary file, potentially leading to critical security issues.   This is LLM-relevant as Triton is often used for serving models, and the vulnerability may allow code execution and do significant harm, as indicated by the description stating ""leads to code execution, denial of service""."
CVE-2023-45063,"Cross-Site Request Forgery (CSRF) vulnerability in the ReCorp AI Content Writing Assistant plugin impacts versions <= 1.1.5.   This vulnerability could exploit user interactions due to the low attack complexity, affecting the integrity of content generated by AI systems like GPT-3 and GPT-4."
CVE-2023-51527,"Exposure of Sensitive Information to an Unauthorized Actor vulnerability affects the ""AI Power: Complete AI Pack – Powered by GPT-4"" plugin, specifically in versions up to and including 1.8.2.   This issue pertains to the handling of sensitive data in a plugin related to a GPT-4 powered system, indicating that unauthorized actors may gain access to sensitive information—""Sensitivity Information"" was highlighted in the CVE."
CVE-2023-5833,"Improper access control in the ""mintplex-labs/anything-llm"" GitHub repository allows unauthorized access to certain functionalities of the LLM system before version 0.1.0.   This vulnerability is relevant as it pertains to a specific LLM product, affecting its security and confidentiality with a CVSS score of 8.1, indicating high severity."
CVE-2023-5241,"The AI ChatBot for WordPress has a Directory Traversal vulnerability that allows attackers to manipulate files on the server, potentially causing Denial of Service (DoS).   This is relevant because it affects an AI component in WordPress that likely uses LLMs for chat functionality, as evidenced by ""AI ChatBot"" and ""OpenAI""."
CVE-2023-51528,"Cross-Site Request Forgery (CSRF) vulnerability in the AI Power: Complete AI Pack powered by GPT-4 affects versions up to 1.8.12.   This vulnerability could potentially allow unauthorized actions to be executed on behalf of a user, posing risks to the integrity of interactions within the plugin."
CVE-2024-0103,"NVIDIA Triton Inference Server has a vulnerability that allows for incorrect initialization of resources due to a network issue, leading to information disclosure.   This affects LLM operations, as Triton is used for serving models, and the disclosure could compromise sensitive training data or model parameters."
CVE-2024-0436,"The vulnerability allows attackers to brute-force the password for the ""anything-llm"" system via a timing attack, which can compromise password security.   The system involved is an LLM product, and the flaw is based on the linear comparison used for password verification, indicating a potential for high confidentiality impact."
CVE-2024-0095,"The NVIDIA Triton Inference Server, which facilitates model inference in LLMs, is vulnerable to log injection, potentially allowing attackers to execute arbitrary commands.   This vulnerability affects system integrity as it can lead to code execution, privilege escalation, and data tampering, highlighting a significant security risk for LLM-based applications."
CVE-2024-0404,"A mass assignment vulnerability exists in the `/api/invite/:code` endpoint of the mintplex-labs/anything-llm repository, allowing unauthorized creation of high-privileged accounts.   This vulnerability affects the LLM system's user management component, enabling attackers to gain administrative access through unauthorized account roles."
CVE-2024-0550,"A privileged user can exploit a relative path traversal vulnerability to access arbitrary system files through the frontend API of the LLM product ""anything-llm.""   This is relevant because it highlights a security flaw that enables unauthorized access to sensitive data, indicating a breach of confidentiality and integrity in the system."
CVE-2024-0453,"The AI ChatBot for WordPress (WPBot) is susceptible to unauthorized file deletions from a linked OpenAI account due to inadequate capability checks on the `openai_file_delete_callback` function across all versions up to 5.3.4.   This indicates a failure in authorization controls specifically affecting LLM interactions, as noted in the description mentioning ""unauthorized modification of data"" and ""linked OpenAI account"".  "
CVE-2024-0763,"Any user can delete arbitrary folders on a remote server in the ""anything-llm"" system due to improper validation of parameters.   This vulnerability suggests that the system's input sanitization process is flawed, allowing for a path traversal attack."
CVE-2024-11394,"Hugging Face Transformers contains a vulnerability that allows remote code execution due to improper validation of deserialized model files.   This is relevant to LLMs because it directly affects the functionality and security of the Hugging Face Transformers library, which is widely used for creating language models."
CVE-2024-0549,"mintplex-labs/anything-llm is vulnerable to a relative path traversal attack, compromising data integrity and availability by allowing unauthorized file deletion.   This affects the LLM component by potentially removing critical database files, as stated: ""allowing unauthorized attackers...to delete files and folders""."
CVE-2024-0699,"The AI Engine plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation, allowing authenticated attackers to potentially execute remote code.   This is relevant as it impacts LLM-specific components used in chatbots and assistants, evidenced by the description stating vulnerabilities exist in ""Chatbots, Generators, Assistants, GPT 4 and more!""  "
CVE-2024-12471,"The vulnerability in the Post Saint plugin for WordPress allows for arbitrary file uploads due to a lack of proper authorization and file type validation.   This poses a risk for systems utilizing LLMs by enabling remote code execution, as indicated by ""arbitrary files uploads due to a missing capability check."""
CVE-2024-1522,A Cross-Site Request Forgery (CSRF) vulnerability in the parisneo/lollms-webui project allows remote attackers to execute arbitrary code.   This vulnerability targets the `/execute_code` API endpoint and enables unauthorized execution of OS commands via crafted malicious web pages.
CVE-2024-0798,"A privilege escalation vulnerability in the mintplex-labs/anything-llm system allows users with the 'default' role to delete documents uploaded by 'admin'.   This vulnerability indicates a flaw in access control that can lead to significant data integrity issues, as stated: ""an attacker can exploit this vulnerability by sending a crafted DELETE request."""
CVE-2024-11392,"Hugging Face Transformers has a vulnerability in its MobileViTV2 component that allows for deserialization of untrusted data, potentially leading to remote code execution.   This is relevant to LLMs because it affects the transformer framework used in many LLM applications, allowing attackers to execute arbitrary code through user interaction with malicious files or pages."
CVE-2024-10131,"The `add_llm` function in the `llm_app.py` file of the infiniflow/ragflow application contains a remote code execution (RCE) vulnerability due to improper input validation.   The vulnerability arises specifically from allowing dynamic class instantiation based on user-provided input for `llm_factory`, which can lead to executing arbitrary code, as indicated by the description mentioning ""execute arbitrary code.""  "
CVE-2024-13059,"A vulnerability in the mintplex-labs/anything-llm system prior to version 1.3.1 allows for path traversal due to improper handling of non-ASCII filenames.   This could lead to arbitrary file write and remote code execution, impacting the integrity and confidentiality of the LLM system."
CVE-2024-11393,"Hugging Face Transformers MaskFormer model contains a vulnerability allowing remote code execution due to deserialization of untrusted data.   This is relevant as it directly affects the LLM component of Hugging Face, allowing attackers to exploit model file parsing, ""resulting in deserialization of untrusted data."""
CVE-2024-12606,"The AI Scribe plugin for WordPress has a vulnerability that allows authenticated attackers to modify plugin settings due to a missing authorization check.   This is relevant to LLMs as it affects a plugin utilizing ChatGPT and similar models, thus exposing system integrity."
CVE-2024-12473,"The AI Scribe WordPress plugin, which integrates LLM capabilities, is vulnerable to SQL Injection due to insufficient escaping on the 'template_id' parameter.   This vulnerability allows authenticated attackers with Contributor-level access to execute arbitrary SQL queries, which can expose sensitive database information."
CVE-2024-1646,"The vulnerability identified as CVE-2024-1646 pertains to authentication bypass in the parisneo/lollms-webui application.   This flaw allows unauthorized access to sensitive endpoints, which can impact the functionality of LLM-related tasks such as updating and controlling recordings.  "
CVE-2024-12236,"A security issue exists in the Vertex Gemini API, allowing data exfiltration due to improper handling of file URIs with VPC Service Controls enabled.   The vulnerability is relevant because it affects a key component of LLM operation, evidenced by phrases like ""data exfiltration"" and ""VPC-SC security perimeter""."
CVE-2024-1511,"The parisneo/lollms-webui is vulnerable to path traversal due to inadequate user-supplied file path validation, allowing unauthorized file access.   This vulnerability permits an attacker to read and execute arbitrary files, as noted in the description mentioning ""unauthenticated attacker"" and ""read, write, and in certain configurations execute arbitrary files""."
CVE-2024-1741,"Improper authorization in lunary-ai/lunary allows unauthorized users to access and manipulate prompt templates using old tokens.   This vulnerability is critical as it allows users to ""read, create, modify, and delete prompt templates,"" potentially compromising sensitive LLM data."
CVE-2024-1520,"An OS Command Injection vulnerability in the '/open_code_folder' endpoint of the parisneo/lollms-webui application allows attackers to execute arbitrary commands on the server.   This is relevant as it affects an LLM-specific application, potentially compromising any sensitive data processed by the model, as indicated by ""unauthorized access, data leakage, or complete system compromise."""
CVE-2024-0451,"The AI ChatBot plugin for WordPress is vulnerable to unauthorized data access due to a missing capability check in the `openai_file_list_callback` function.   This vulnerability allows authenticated attackers with low-level access to list files in a linked OpenAI account, compromising security for LLM systems integrated with this chatbot.  "
CVE-2024-0795,"If an attacker gains admin access, they can create new users with elevated privileges due to a lack of backend authentication.   This is significant because it compromises the security of the LLM system 'anything-llm', allowing unauthorized user creation and control."
CVE-2024-0759,"The vulnerability CVE-2024-0759 affects the AnythingLLM system, allowing an attacker with elevated permissions to perform link-scraping of internal IPs within the same network.   This is LLM-relevant as it involves the AnythingLLM platform which handles potentially sensitive internal data, indicating a significant risk to system confidentiality.  "
CVE-2024-11896,"The Text Prompter plugin for WordPress is vulnerable to Stored Cross-Site Scripting (XSS) due to insufficient input sanitization, allowing authenticated attackers to inject scripts.   This vulnerability poses a risk to applications utilizing LLMs for content generation, particularly in environments where user-generated prompts can be exploited, as indicated by ""text_prompter"" shortcode vulnerabilities."
CVE-2024-0455,"The CVE-2024-0455 vulnerability relates to a Server-Side Request Forgery (SSRF) flaw in AnythingLLM that allows unauthorized users to access EC2 instance credentials.   This could lead to severe security risks as it enables users with minimal privileges to access sensitive information, as stated: ""any user with the proper authorization level... could put in the URL.""  "
CVE-2024-12366,"PandasAI's interactive prompt function is vulnerable to prompt injection, allowing for remote code execution instead of expected natural language processing.   This is significant as it pertains to LLM operations, highlighted by ""prompt injection"" which directly affects how prompts are processed."
CVE-2024-0439,"User permissions can be exploited in the ""anything-llm"" system, allowing a manager to modify restricted configurations via manual HTTP requests.   This vulnerability reflects improper privilege management (CWE-269) as it permits modifications that should be restricted, compromising integrity, with a CVSS score of 7.1 indicating high severity."
CVE-2024-0551,"The vulnerability CVE-2024-0551 involves improper access control in the ""anything-llm"" system, allowing default users to export sensitive database information.   This is critical because it can lead to unauthorized data exposure, as highlighted by the ""confidentialityImpact"": ""HIGH.""  "
CVE-2024-1602,"The stored XSS vulnerability in the parisneo/lollms-webui can lead to Remote Code Execution due to inadequate sanitization of model output data.   This vulnerability is critical as it allows attackers to inject malicious scripts that execute in the user's browser, affecting LLM-specific components that manage user input and output."
CVE-2024-1880,"An OS command injection vulnerability in the MacOS Text-To-Speech class of the significant-gravitas/autogpt project could allow arbitrary code execution.   This is strongly relevant to LLM as it affects the functionality of AutoGPT, a language model application, leveraging the `--speak` feature and relies on user input which can be manipulated to execute shell commands.  "
CVE-2024-1879,"A Cross-Site Request Forgery (CSRF) vulnerability in the AutoGPT system allows attackers to execute arbitrary commands due to inadequate API protections.   This vulnerability directly affects the AutoGPT server's security, allowing crafted requests from malicious sites, indicating a weakness in handling API endpoints."
CVE-2024-21624,"The vulnerability in Nonebot2 relates to a potential information leak through user-constructed message templates, which could expose sensitive information such as environment variables.   This is relevant due to the risk of unauthorized access to sensitive data when developers improperly manage user inputs in templates, as highlighted by ""exposure of sensitive information.""  "
CVE-2024-1569,"The vulnerability in `parisneo/lollms-webui` allows attackers to trigger a denial of service (DoS) by exploiting uncontrolled resource consumption through repeated unauthenticated HTTP POST requests.   This vulnerability is relevant because it affects a web UI for an LLM and can render the system unusable, as indicated by ""uncontrolled resource consumption"" leading to ""exhausting system resources.""  "
CVE-2024-22309,"Deserialization of untrusted data in the ChatBot with AI plugin for WordPress allows for PHP object injection, potentially compromising the integrity and confidentiality of the system.   This vulnerability is relevant because it specifically involves a component—ChatBot with AI—using LLM technology, suggesting that an attacker might manipulate its behavior through malicious data, underscoring the importance of secure coding practices.  "
CVE-2024-21825,"A heap-based buffer overflow vulnerability exists in the GGUF library's parsing functionality in llama.cpp, allowing code execution via a crafted .gguf file.   This shows relevance as it affects the llama.cpp system directly and involves executing code, which is critical for LLM operations."
CVE-2024-1873,"The vulnerability provides a path traversal and denial of service in the `parisneo/lollms-webui` system.   This allows attackers to manipulate file paths, potentially disrupting services and compromising data integrity.  "
CVE-2024-23605,"A heap-based buffer overflow vulnerability in the GGUF library of llama.cpp can allow code execution when a specially crafted .gguf file is processed.   This is relevant because it highlights a critical vulnerability affecting the llama.cpp library, which is integral for LLM functionalities, making it a potential target for attackers."
CVE-2024-2361,"A vulnerability in the parisneo/lollms-webui allows for arbitrary file upload and read due to insufficient sanitization of user input, specifically in the `install_model()` function.   This affects the LLM system by enabling attackers to exploit path traversal vulnerabilities, as noted by the mention of ""arbitrary read and upload capabilities."""
CVE-2024-21552,"All versions of `SuperAGI` have a critical vulnerability that allows for arbitrary code execution due to unsafe use of the `eval` function, which can be exploited to execute attacks on the application server.   This vulnerability is especially relevant to LLMs, as it involves their output being manipulated to execute arbitrary commands, highlighting a lack of sanitization in user inputs.  "
CVE-2024-21802,"A heap-based buffer overflow vulnerability in the GGUF library of llama.cpp can lead to code execution when processing a specially crafted .gguf file.   This vulnerability is critical because it can allow attackers to execute arbitrary code, demonstrating a serious security flaw in an LLM-relevant software component."
CVE-2024-2288,A Cross-Site Request Forgery (CSRF) vulnerability in the profile picture upload functionality of the Lollms application could allow attackers to change user settings without their consent.   This flaw on the Lollms web application could lead to denial of service and potential XSS attacks as it affects core user interactions within the system.
CVE-2024-1881,"AutoGPT, a component of significant-gravitas/autogpt, is vulnerable to OS Command Injection due to improper shell command validation.   This vulnerability allows attackers to exploit the execution of arbitrary commands due to checks only being performed on the first word of the command."
CVE-2024-23751,"The vulnerability in LlamaIndex up to version 0.9.34 allows SQL injection through the Text-to-SQL feature in multiple components.   This is critically relevant since it demonstrates how an LLM-specific functionality, such as querying, can be exploited, potentially leading to the deletion of important data as evidenced by ""Drop the Students table"" within natural language input."
CVE-2024-24566,"Unauthorized access to plugins in the Lobe Chat framework due to improper access control can potentially expose sensitive functionalities to malicious users.   This is relevant to LLMs as it affects a chatbot framework designed for multimodal functionalities, specifically leveraging plugins improperly due to the lack of authentication when the `ACCESS_CODE` is deployed."
CVE-2024-2178,"A path traversal vulnerability exists in the parisneo/lollms-webui that allows unauthorized access to sensitive information by manipulating parameters.   This vulnerability weakens the security of the LLM web interface, allowing attackers to access files outside the intended directory structure leading to potential information leaks."
CVE-2024-23730,"The vulnerability in the LlamaHub plugin loaders allows attackers to execute arbitrary code due to improper handling of YAML files.   This is relevant to LLMs because it affects a component used in deploying models, highlighting risks in the plugin system that supports LLM functionalities.  "
CVE-2024-21799,"The Intel(R) Extension for Transformers software is vulnerable to a path traversal issue prior to version 1.5, which may allow an authenticated user to escalate privileges through local access.   This is significant for LLMs since Intel's extensions are tailored for machine learning tasks, and privilege escalation may compromise the integrity of model inference and execution workflows.  "
CVE-2024-21513,"Versions of the langchain-experimental package are vulnerable to Arbitrary Code Execution due to improper handling of prompt inputs within the VectorSQLDatabaseChain component.   This vulnerability allows an attacker to execute arbitrary Python code by manipulating input prompts, as stated in the description: ""An attacker can exploit this vulnerability and execute arbitrary python code if they can control the input prompt.""  "
CVE-2024-2548,"A path traversal vulnerability in the `parisneo/lollms-webui` application allows unauthorized file access on the Windows system through inadequate path validation.   This vulnerability affects a relevant LLM system, as it specifically compromises the application's security measures, enabling attackers to read sensitive files like `win.ini`."
CVE-2024-2217,"gaizhenbiao/chuanhuchatgpt has an improper access control vulnerability that allows unauthorized access to sensitive information in the `config.json` file, including API keys and user credentials.   This poses a risk to LLM systems as sensitive keys relevant to AI model access could be exposed; ""allowing unauthorized access to the `config.json` file."""
CVE-2024-21836,"A heap-based buffer overflow vulnerability in the GGUF library of llama.cpp can allow code execution via a specially crafted .gguf file.   This is significant as it targets the gguf file processing component of an LLM implementation, highlighting potential exploitation risks."
CVE-2024-2366,"A remote code execution vulnerability exists in the parisneo/lollms-webui application due to insufficient path sanitization, enabling arbitrary code execution.   This vulnerability directly affects the lollms-webui, a system relevant to LLM frameworks, as it allows for executing malicious code which can compromise the integrity and functionality of the LLM application.  "
CVE-2024-2359,The vulnerability CVE-2024-2359 in the parisneo/lollms-webui allows attackers to execute arbitrary code due to improper access control on the `/execute_code` endpoint.   This is LLM-relevant because the affected component is an LLM web user interface that handles execution commands which can directly impact LLM functionality.
CVE-2024-2360,"The CVE-2024-2360 vulnerability in parisneo/lollms-webui allows for path traversal leading to remote code execution due to inadequate sanitization of user input in critical settings.   This relates to LLMs as it affects a web interface potentially used for LLM management and deployment, allowing attackers to execute arbitrary code which could compromise LLM operations."
CVE-2024-23496,"A heap-based buffer overflow vulnerability in the gguf_fread_str functionality of llama.cpp can be exploited by providing a specially crafted .gguf file, potentially leading to code execution.   This is relevant as it impacts the llama.cpp system, an important component in LLM architectures, indicating that malicious inputs could compromise the model's integrity."
